timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728224656578,2026,Iniciar sesión,200,OK,Usuarios 1-1,text,true,,47663,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,897,0,708
1728224656578,903,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-1,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,897,0,708
1728224657484,1120,Iniciar sesión-1,200,OK,Usuarios 1-1,text,true,,47186,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,948,0,604
1728224658611,532,Formulario,200,OK,Usuarios 1-1,text,true,,47642,1829,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,174,0,0
1728224658611,174,Formulario-0,301,Moved Permanently,Usuarios 1-1,text,true,,434,775,1,1,http://demo.serenity.is/Northwind/Supplier#edit/18,174,0,0
1728224658786,177,Formulario-1,302,Found,Usuarios 1-1,,true,,291,512,1,1,https://demo.serenity.is/Northwind/Supplier,177,0,0
1728224658963,180,Formulario-2,200,OK,Usuarios 1-1,text,true,,46917,542,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,178,0,0
1728224659145,178,Cerrar sesión,301,Moved Permanently,Usuarios 1-1,text,true,,426,504,1,1,http://demo.serenity.is/Account/Signout,177,0,0
1728224674481,1266,Iniciar sesión,200,OK,Usuarios 1-2,text,true,,47663,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,356,0,174
1728224674481,356,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-2,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,356,0,174
1728224674838,909,Iniciar sesión-1,200,OK,Usuarios 1-2,text,true,,47186,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,734,0,384
1728224675752,542,Formulario,200,OK,Usuarios 1-2,text,true,,47642,1829,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,172,0,0
1728224675752,172,Formulario-0,301,Moved Permanently,Usuarios 1-2,text,true,,434,775,1,1,http://demo.serenity.is/Northwind/Supplier#edit/18,172,0,0
1728224675924,180,Formulario-1,302,Found,Usuarios 1-2,,true,,291,512,1,1,https://demo.serenity.is/Northwind/Supplier,180,0,0
1728224676104,190,Formulario-2,200,OK,Usuarios 1-2,text,true,,46917,542,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,189,0,0
1728224676295,178,Cerrar sesión,301,Moved Permanently,Usuarios 1-2,text,true,,426,504,1,1,http://demo.serenity.is/Account/Signout,178,0,0
1728224692482,3179,Iniciar sesión,200,OK,Usuarios 1-3,text,true,,47663,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1112,0,673
1728224692482,1113,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-3,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1112,0,673
1728224693595,2066,Iniciar sesión-1,200,OK,Usuarios 1-3,text,true,,47186,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1629,0,635
1728224695662,2437,Formulario,200,OK,Usuarios 1-3,text,true,,47650,1829,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,454,0,0
1728224695662,454,Formulario-0,301,Moved Permanently,Usuarios 1-3,text,true,,434,775,1,1,http://demo.serenity.is/Northwind/Supplier#edit/18,454,0,0
1728224696117,356,Formulario-1,302,Found,Usuarios 1-3,,true,,291,512,1,1,https://demo.serenity.is/Northwind/Supplier,356,0,0
1728224696472,1626,Formulario-2,200,OK,Usuarios 1-3,text,true,,46925,542,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,443,0,0
1728224698099,175,Cerrar sesión,301,Moved Permanently,Usuarios 1-3,text,true,,426,504,1,1,http://demo.serenity.is/Account/Signout,175,0,0
1728224710481,2125,Iniciar sesión,200,OK,Usuarios 1-4,text,true,,47671,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,750,0,316
1728224710481,750,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-4,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,750,0,316
1728224711232,1374,Iniciar sesión-1,200,OK,Usuarios 1-4,text,true,,47194,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1200,0,859
