timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728233588814,3307,Iniciar sesión,200,OK,Usuarios 1-1,text,true,,47398,372,1,2,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1438,0,1070
1728233588814,1444,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-1,text,true,,477,186,1,2,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1438,0,1070
1728233590262,1859,Iniciar sesión-1,200,OK,Usuarios 1-1,text,true,,46921,186,1,2,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1687,0,1342
1728233592127,551,Formulario,200,OK,Usuarios 1-1,text,true,,47377,1829,1,2,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,201,0,0
1728233592127,201,Formulario-0,301,Moved Permanently,Usuarios 1-1,text,true,,434,775,1,2,http://demo.serenity.is/Northwind/Supplier#edit/18,201,0,0
1728233592328,178,Formulario-1,302,Found,Usuarios 1-1,,true,,291,512,1,2,https://demo.serenity.is/Northwind/Supplier,178,0,0
1728233592507,171,Formulario-2,200,OK,Usuarios 1-1,text,true,,46652,542,1,2,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,169,0,0
1728233592679,179,Cerrar sesión,301,Moved Permanently,Usuarios 1-1,text,true,,426,504,1,2,http://demo.serenity.is/Account/Signout,179,0,0
1728233588814,4997,Iniciar sesión,200,OK,Usuarios 2-1,text,true,,47398,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1438,0,1070
1728233588814,1444,Iniciar sesión-0,301,Moved Permanently,Usuarios 2-1,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1438,0,1070
1728233590262,3549,Iniciar sesión-1,200,OK,Usuarios 2-1,text,true,,46921,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,3045,0,1342
