timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728229796794,2105,Iniciar sesión,200,OK,Usuarios 1-1,text,true,,47773,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,842,0,640
1728229796794,849,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-1,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,842,0,640
1728229797646,1253,Iniciar sesión-1,200,OK,Usuarios 1-1,text,true,,47296,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1082,0,721
1728229798906,569,Formulario,200,OK,Usuarios 1-1,text,true,,47752,1829,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,198,0,0
1728229798906,198,Formulario-0,301,Moved Permanently,Usuarios 1-1,text,true,,434,775,1,1,http://demo.serenity.is/Northwind/Supplier#edit/18,198,0,0
1728229799105,181,Formulario-1,302,Found,Usuarios 1-1,,true,,291,512,1,1,https://demo.serenity.is/Northwind/Supplier,181,0,0
1728229799287,188,Formulario-2,200,OK,Usuarios 1-1,text,true,,47027,542,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,184,0,0
1728229799477,184,Cerrar sesión,301,Moved Permanently,Usuarios 1-1,text,true,,426,504,1,1,http://demo.serenity.is/Account/Signout,184,0,0
1728229808672,1870,Iniciar sesión,200,OK,Usuarios 1-2,text,true,,47781,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,950,0,540
1728229808672,950,Iniciar sesión-0,301,Moved Permanently,Usuarios 1-2,text,true,,477,186,1,1,http://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,950,0,540
1728229809623,919,Iniciar sesión-1,200,OK,Usuarios 1-2,text,true,,47304,186,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,754,0,387
1728229810543,542,Formulario,200,OK,Usuarios 1-2,text,true,,47752,1829,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,175,0,0
1728229810543,175,Formulario-0,301,Moved Permanently,Usuarios 1-2,text,true,,434,775,1,1,http://demo.serenity.is/Northwind/Supplier#edit/18,175,0,0
1728229810719,186,Formulario-1,302,Found,Usuarios 1-2,,true,,291,512,1,1,https://demo.serenity.is/Northwind/Supplier,186,0,0
1728229810906,179,Formulario-2,200,OK,Usuarios 1-2,text,true,,47027,542,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2FNorthwind%2FSupplier,177,0,0
1728229811086,175,Cerrar sesión,301,Moved Permanently,Usuarios 1-2,text,true,,426,504,1,1,http://demo.serenity.is/Account/Signout,175,0,0
1728229820683,3215,Iniciar sesión,200,OK,Usuarios 1-3,text,true,,47773,372,1,1,https://demo.serenity.is/Account/Login/?ReturnUrl=%2F&demouser=admin&password=serenity,1144,0,703
